formal_label,run_name,run_id,step,training_global_step,actor_entropy,actor_kl_loss,actor_ppo_kl,actor_pg_loss,train_response_length_mean,val_reward_mean,val_reward_pass1,val_aux_response_length_mean,val_token_entropy_mean,val_low_confidence_ratio,val_token_response_length_mean,val_top1_prob_mean,val_eos_prob_mean,val_topk_mass_mean,val_analyzed_samples,val_analyzed_sample_fraction
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,120,120.0,0.1224798560142517,0.003873523310176,0.0003039693560822,-255.9435272216797,533.140625,0.542,0.542,606.875,0.2142611810525094,0.0394696189495365,606.875,0.9246887002742622,0.0015709376980799,0.993779813175221,64.0,0.128
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,121,121.0,0.1164636611938476,0.0036308298513176,-3.923747362932773e-05,-236.3080575466156,517.5,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,122,122.0,0.1204888448119163,0.0039752922602929,0.0001513900739382,-239.6554517745972,495.09375,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,123,123.0,0.1229028701782226,0.0037178256534389,-4.880782398686279e-05,-226.4357569217682,522.65625,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,124,124.0,0.1526024788618087,0.00343349025934,3.535394267828451e-05,-256.0154733657837,534.90625,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,125,125.0,0.1239145770668983,0.0035882938973372,-0.0002714284438525,-234.4942364692688,530.390625,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,126,126.0,0.115628570318222,0.0041927836718969,-3.3230636290682014e-05,-240.3101716041565,492.609375,0.546,0.546,584.40625,0.2324689325371704,0.0434468744986899,584.40625,0.9205859454390416,0.0016311998909215,0.9925913944594216,64.0,0.128
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,127,127.0,0.1268468201160431,0.0036618762969737,6.099578274643136e-05,-243.2245960235596,561.390625,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,128,128.0,0.139455109834671,0.0038235278698266,-2.057116830656014e-05,-223.3772459030151,571.90625,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,129,129.0,0.1259019523859024,0.0037196688281255,-1.73000660197431e-05,-244.04620790481567,548.28125,,,,,,,,,,,
