step,training/global_step,training/global_step_timestamp,actor/entropy,actor/entropy_timestamp,actor/ppo_kl,actor/ppo_kl_timestamp,actor/pg_loss,actor/pg_loss_timestamp,response_length/mean,response_length/mean_timestamp,val-core/math500/reward/mean@8,val-core/math500/reward/mean@8_timestamp,val-core/math500/reward/pass@1,val-core/math500/reward/pass@1_timestamp,val-core/math500/reward/pass@8,val-core/math500/reward/pass@8_timestamp,val-core/math500/reward/best@8/mean,val-core/math500/reward/best@8/mean_timestamp,val-aux/math500/response_length/mean@8,val-aux/math500/response_length/mean@8_timestamp,val-token/math500/summary/token_entropy_mean,val-token/math500/summary/token_entropy_mean_timestamp,val-token/math500/summary/low_confidence_token_ratio,val-token/math500/summary/low_confidence_token_ratio_timestamp,val-token/math500/summary/response_length_mean,val-token/math500/summary/response_length_mean_timestamp,val-token/math500/summary/top1_prob_mean,val-token/math500/summary/top1_prob_mean_timestamp,val-token/math500/summary/eos_prob_mean,val-token/math500/summary/eos_prob_mean_timestamp,val-token/math500/summary/topk_mass_mean,val-token/math500/summary/topk_mass_mean_timestamp,val-token/math500/summary/analyzed_samples,val-token/math500/summary/analyzed_samples_timestamp,val-token/math500/summary/analyzed_sample_fraction,val-token/math500/summary/analyzed_sample_fraction_timestamp
59,59.0,1775071623000.0,0.1549150645732879,1775071623000.0,1.7815856285130494e-05,1775071623000.0,8.195887949113967e-05,1775071623000.0,589.912109375,1775071623000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
60,60.0,1775072072000.0,0.1196914613246917,1775072072000.0,5.6611504266612656e-06,1775072072000.0,0.0001526378555354,1775072072000.0,595.224609375,1775072072000.0,0.54675,1775072072000.0,0.54675,1775072072000.0,0.82,1775072072000.0,0.778076,1775072072000.0,589.84375,1775072072000.0,0.2085801163730242,1775072072000.0,0.039205298013245,1775072072000.0,589.84375,1775072072000.0,0.9302369546448158,1775072072000.0,0.0016545954502576,1775072072000.0,0.9929283895934654,1775072072000.0,64.0,1775072072000.0,0.016,1775072072000.0
61,61.0,1775072186000.0,0.1200310066342353,1775072186000.0,1.541654891301647e-05,1775072186000.0,0.0002462777283653,1775072186000.0,600.140625,1775072186000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
62,62.0,1775072299000.0,0.1224038749933242,1775072299000.0,-2.3623231562019956e-05,1775072299000.0,0.0001784107271305,1775072299000.0,599.451171875,1775072299000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
63,63.0,1775072413000.0,0.125003308057785,1775072413000.0,-1.19542357972513e-05,1775072413000.0,0.0002332621033929,1775072413000.0,609.041015625,1775072413000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
64,64.0,1775072527000.0,0.1185344755649566,1775072527000.0,1.139929003457496e-05,1775072527000.0,0.0002629525497468,1775072527000.0,601.42578125,1775072527000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
65,65.0,1775072639000.0,0.122491106390953,1775072639000.0,3.0783588031213505e-05,1775072639000.0,0.0002046729478024,1775072639000.0,590.751953125,1775072639000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
66,66.0,1775073098000.0,0.1194924712181091,1775073098000.0,7.771066203721144e-05,1775073098000.0,0.000265055606178,1775073098000.0,602.693359375,1775073098000.0,0.55275,1775073098000.0,0.55275,1775073098000.0,0.812,1775073098000.0,0.771248,1775073098000.0,599.125,1775073098000.0,0.185183689337097,1775073098000.0,0.034712080116837,1775073098000.0,599.125,1775073098000.0,0.9353629310619052,1775073098000.0,0.0015858931893244,1775073098000.0,0.9950341316794592,1775073098000.0,64.0,1775073098000.0,0.016,1775073098000.0
67,67.0,1775073209000.0,0.121549405157566,1775073209000.0,2.702135613041889e-06,1775073209000.0,0.0001783862117008,1775073209000.0,595.271484375,1775073209000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
68,68.0,1775073321000.0,0.1141435280442238,1775073321000.0,4.043157854027868e-05,1775073321000.0,0.0001518538083473,1775073321000.0,590.970703125,1775073321000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
69,69.0,1775073435000.0,0.1254516094923019,1775073435000.0,3.5765339107141775e-05,1775073435000.0,0.0002850532919183,1775073435000.0,613.943359375,1775073435000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
70,70.0,1775073547000.0,0.1175427809357643,1775073547000.0,4.659290355313317e-05,1775073547000.0,0.0001824141172619,1775073547000.0,592.888671875,1775073547000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
71,71.0,1775073658000.0,0.1129697635769844,1775073658000.0,-5.147993786813743e-05,1775073658000.0,8.952234747994225e-05,1775073658000.0,582.853515625,1775073658000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
72,72.0,1775074104000.0,0.1152128800749778,1775074104000.0,9.711238163345737e-06,1775074104000.0,0.0002627268622745,1775074104000.0,603.37890625,1775074104000.0,0.5525,1775074104000.0,0.5525,1775074104000.0,0.804,1775074104000.0,0.7692319999999999,1775074104000.0,650.6875,1775074104000.0,0.2001693946073314,1775074104000.0,0.0385409662856594,1775074104000.0,650.6875,1775074104000.0,0.930211881821328,1775074104000.0,0.0014576664155046,1775074104000.0,0.9938552760445823,1775074104000.0,64.0,1775074104000.0,0.016,1775074104000.0
73,73.0,1775074219000.0,0.1146643310785293,1775074219000.0,4.556394204602299e-05,1775074219000.0,0.0002012236236623,1775074219000.0,595.35546875,1775074219000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
